Unique Key Code,Country,Supplier Code,Supplier Name,Parent Company,VBS Code,VBS Description,GPO Category,Category,Main Category,ACT/LE Spend $ Jan,ACT/LE Spend $ Feb,ACT/LE Spend $ Mar,ACT/LE Spend $ Apr,ACT/LE Spend $ May,ACT/LE Spend $ Jun,ACT/LE Spend $ Jul,ACT/LE Spend $ Aug,ACT/LE Spend $ Sep,ACT/LE Spend $ Oct,ACT/LE Spend $ Nov,ACT/LE Spend $ Dec,ACT/LE Spend $ FY,ACT/LE WAPT Jan,ACT/LE WAPT Feb,ACT/LE WAPT Mar,ACT/LE WAPT Apr,ACT/LE WAPT May,ACT/LE WAPT Jun,ACT/LE WAPT Jul,ACT/LE WAPT Aug,ACT/LE WAPT Sep,ACT/LE WAPT Oct,ACT/LE WAPT Nov,ACT/LE WAPT Dec,Budget WAPT Jan Round 1,Budget WAPT Feb Round 1,Budget WAPT Mar Round 1,Budget WAPT Apr Round 1,Budget WAPT May Round 1,Budget WAPT Jun Round 1,Budget WAPT Jul Round 1,Budget WAPT Aug Round 1,Budget WAPT Sep Round 1,Budget WAPT Oct Round 1,Budget WAPT Nov Round 1,Budget WAPT Dec Round 1,Final BU Spend Jan Round 1,Final BU Spend Feb Round 1,Final BU Spend Mar Round 1,Final BU Spend Apr Round 1,Final BU Spend May Round 1,Final BU Spend Jun Round 1,Final BU Spend Jul Round 1,Final BU Spend Aug Round 1,Final BU Spend Sep Round 1,Final BU Spend Oct Round 1,Final BU Spend Nov Round 1,Final BU Spend Dec Round 1
Brazil329162_S4,Brazil,329162,58.731.250 GERALDO MAGELA GONCALVES,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,1058,1234,1234,1234,1234,1234,1409.05782,860.7682998,853.8982998,774.85,645.45,1019.34,12791.36442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,1058,1234,1234,1234,1234,1234,1409.05782,860.7682998,853.8982998,774.85,645.45,1019.34
Brazil332447_S4,Brazil,332447,NIPPON KOEI LAC DO BRASIL LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,43300,8323.42782,7264.4883,7188.2883,7806.08,6370.37,10518.85,90771.50442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,43300,8323.42782,7264.4883,7188.2883,7806.08,6370.37,10518.85
Brazil264423_S4,Brazil,264423,MACROCER EMPAEX EMPRESA PARANAENSE,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,300,1508,414,834,0,0,90.95,87.33,86.83,91.78,82.51,109.3,3604.7,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,300,1508,414,834,0,0,90.95,87.33,86.83,91.78,82.51,109.3
Brazil244782_S4,Brazil,244782,POTABILIZA PERFURACAO E CONSTRUCAO,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,879.2478197,370.0882998,368.5382998,236.09,206.78,291.45,2352.194419,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,879.2478197,370.0882998,368.5382998,236.09,206.78,291.45
Brazil332615_S4,Brazil,332615,JARDINS ARTESANAIS LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,879.7378197,370.5382998,368.9782998,236.58,207.19,292.12,2355.144419,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,879.7378197,370.5382998,368.9782998,236.58,207.19,292.12
Brazil245417_S4,Brazil,245417,J & A OBRA DE MONTAGEM INDUSTRIAL,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,9637,0,0,47584.13782,43625.6583,43155.8083,47730.37,38877.2,64458.33,295068.5044,45,45,45,1,1,1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,9637,0,0,47584.13782,43625.6583,43155.8083,47730.37,38877.2,64458.33
Brazil311366_S4,Brazil,311366,T & T INSTALACOES E SERVICOS LTDA,T & T INSTALACOES E SERVICOS LTDA,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,1322,0,18195,1906,0,0,19355.29,17925.84,17731.77,19682.43,16025.67,26591.84,138735.84,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,1322,0,18195,1906,0,0,19355.29,17925.84,17731.77,19682.43,16025.67,26591.84
Brazil269573_S4,Brazil,269573,ARTEKRS CONSTRUCOES E ENGENHARIA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,41.86,41.86,41.86,41.86,41.86,41.86,251.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,41.86,41.86,41.86,41.86,41.86,41.86
Brazil328672_S4,Brazil,328672,FANCOLD SERVICE LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,803.2078197,299.6582998,298.8682998,158.76,143.82,186.97,1891.284419,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,803.2078197,299.6582998,298.8682998,158.76,143.82,186.97
Brazil314431_S4,Brazil,314431,HORA Z SERVICOS LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,14244,18734,7185,25211,41210,8593,21893.58782,19832.4383,19620.1783,21605.6,17606.1,29162.61,244897.5144,44.94917693,43.83209916,45,44.99287702,44.35538875,44.14538553,27.81,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,14244,18734,7185,25211,41210,8593,21893.58782,19832.4383,19620.1783,21605.6,17606.1,29162.61
Brazil242457_S4,Brazil,242457,RAILOC - LOCACAO DE EQUIPAMENTOS PA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,1091,0,0,87.24,86.58,86.5,87.39,85.71,90.55,1614.97,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,0,0,0,1091,0,0,87.24,86.58,86.5,87.39,85.71,90.55
Brazil247512_S4,Brazil,247512,M P PINTURAS LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,8435,0,458,491,11,0,687.6478197,189.9382998,189.9382998,41.86,41.86,41.86,10588.10442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,8435,0,458,491,11,0,687.6478197,189.9382998,189.9382998,41.86,41.86,41.86
Brazil269528_S4,Brazil,269528,IRMAOS WASSEN LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,41.86,41.86,41.86,41.86,41.86,41.86,251.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,41.86,41.86,41.86,41.86,41.86,41.86
Brazil306275_S4,Brazil,306275,PLENNO ARQUITETURA E LEGALIZACAO,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,38315,3332,6434,3085,1611,4300.40782,3538.5783,3502.7183,3715.06,3039.41,4991.7,75864.87442,45,45,44.65593221,45,45,44.31831413,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,38315,3332,6434,3085,1611,4300.40782,3538.5783,3502.7183,3715.06,3039.41,4991.7
Brazil247199_S4,Brazil,247199,W ENERGY SERVICOS ELETRICOS EIRELI,W ENERGY SERVICOS ELETRICOS EIRELI,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,13308.30782,11881.2083,11755.0383,12875.21,10497.71,17367.47,77684.94442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,13308.30782,11881.2083,11755.0383,12875.21,10497.71,17367.47
